Date,AAPL,ABBV,ABT,ACN,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,DIS,GOOGL,GS,HD,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MS,MSFT,NEE,NOW,NVDA,PEP,PFE,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,V,VZ,WMT,XOM
2021-07-16,142.9590301513672,100.1122817993164,108.60208892822266,293.04119873046875,85.88999938964844,214.9154510498047,178.68150329589844,42.851097106933594,34.09138488769531,277.8999938964844,50.72638702392578,389.8819885253906,235.9480438232422,47.374717712402344,81.85669708251953,176.3697967529297,126.10028076171875,327.9307861328125,289.81768798828125,110.62891387939453,50.30384063720703,488.0696105957031,147.6666717529297,135.94979858398438,49.64242172241211,273.8399658203125,222.49977111816406,377.6811218261719,213.14443969726562,339.0697326660156,68.30902099609375,78.52418518066406,270.6346740722656,69.29183197021484,556.3599853515625,18.121482849121094,136.928466796875,32.27562713623047,125.5331039428711,80.37235260009766,127.33346557617188,75.3862075805664,513.9786376953125,214.74000549316406,163.34512329101562,392.2693786621094,240.00347900390625,43.22693634033203,44.53521728515625,48.33787155151367
2021-07-19,139.11135864257812,98.340087890625,109.78507232666016,290.47637939453125,86.58000183105469,213.84933471679688,177.47950744628906,42.631378173828125,33.20134353637695,272.6600036621094,49.915462493896484,393.4732360839844,235.07717895507812,46.81010437011719,79.64884948730469,170.11407470703125,123.72467041015625,318.8697204589844,287.4111022949219,109.84835815429688,50.00185012817383,485.4127502441406,146.59494018554688,131.52882385253906,49.052696228027344,268.7421569824219,224.10777282714844,356.5395812988281,208.15969848632812,334.8855285644531,67.45976257324219,76.88916778564453,267.0295104980469,68.46481323242188,555.0900268554688,18.738887786865234,136.910888671875,32.115657806396484,125.47057342529297,79.58406066894531,126.49494934082031,73.14799499511719,515.7882080078125,215.4066619873047,163.45046997070312,382.32470703125,232.5457305908203,42.75225067138672,44.431392669677734,46.67658233642578
2021-07-20,142.72467041015625,98.87686157226562,109.72960662841797,293.18218994140625,87.11000061035156,213.98800659179688,178.6595001220703,42.898704528808594,33.88460159301758,276.8900146484375,50.31211471557617,395.4588928222656,237.61053466796875,47.268856048583984,80.1219482421875,173.85177612304688,125.3449935913086,327.89495849609375,293.2518615722656,111.48113250732422,50.550926208496094,494.9306335449219,147.9741668701172,133.98095703125,49.140716552734375,274.1232604980469,224.9501190185547,365.26153564453125,212.7086181640625,339.5666809082031,66.68927764892578,79.44496154785156,269.2562561035156,68.62489318847656,565.25,18.57149887084961,136.928466796875,32.835548400878906,124.8005142211914,77.14606475830078,127.1875991821289,76.53237915039062,516.7374267578125,220.1666717529297,164.7932586669922,385.9792175292969,234.76080322265625,42.553184509277344,44.63274002075195,47.19099426269531
2021-07-21,141.99221801757812,99.6777572631836,109.9606704711914,294.7887268066406,89.41000366210938,212.2198944091797,179.25999450683594,43.85355758666992,34.57686233520508,279.8800048828125,50.95555877685547,394.2903137207031,239.58970642089844,47.53352355957031,82.85273742675781,173.9894561767578,126.6753158569336,335.75164794921875,294.1622314453125,112.54041290283203,51.45689010620117,500.66278076171875,148.88775634765625,136.79998779296875,49.77444076538086,277.7389831542969,227.12278747558594,370.7932434082031,214.21580505371094,344.1086730957031,66.88189697265625,82.33636474609375,271.2613220214844,67.47770690917969,567.1300048828125,19.367761611938477,136.4187774658203,32.81155776977539,124.36272430419922,78.4544677734375,129.57553100585938,78.13883972167969,508.5104064941406,218.42999267578125,170.47157287597656,387.5401306152344,235.6894073486328,42.83646774291992,44.41251754760742,48.708927154541016
2021-07-22,143.35943603515625,100.14636993408203,109.28598022460938,295.2490539550781,91.20999908447266,212.1245574951172,181.90150451660156,43.60728073120117,34.12733840942383,277.70001220703125,50.937931060791016,396.69403076171875,245.69549560546875,48.115787506103516,82.022705078125,172.25833129882812,127.54183197021484,335.0414733886719,294.43255615234375,112.07050323486328,51.209800720214844,507.33905029296875,149.31817626953125,135.07275390625,49.70403289794922,278.7019348144531,228.27139282226562,372.8420715332031,216.7036590576172,349.0382385253906,67.00447845458984,82.24171447753906,275.83056640625,67.69114685058594,576.7000122070312,19.55136489868164,136.3748321533203,33.17151641845703,123.88626098632812,79.02333068847656,129.82159423828125,77.45294189453125,518.635986328125,216.4199981689453,161.40554809570312,388.5961608886719,236.15370178222656,42.83646774291992,44.44397735595703,48.16078567504883
2021-07-23,145.0781707763672,100.70021057128906,111.6427001953125,299.3735046386719,92.1500015258789,214.7073974609375,182.83200073242188,44.23163986206055,33.893592834472656,278.489990234375,51.44034194946289,402.2899169921875,245.66580200195312,48.72450256347656,82.055908203125,173.25177001953125,132.1038818359375,336.2460632324219,300.0028991699219,112.572265625,48.501075744628906,514.2680053710938,150.90814208984375,134.81324768066406,50.1793327331543,282.09100341796875,233.6888885498047,383.67144775390625,220.5988006591797,367.5243225097656,67.88876342773438,81.36395263671875,279.23333740234375,68.65155029296875,586.1799926757812,19.51544189453125,138.12356567382812,33.33949279785156,125.67530059814453,79.96601867675781,132.0454559326172,77.44392395019531,526.3092041015625,214.4600067138672,164.90040588378906,390.40008544921875,240.8740692138672,42.78287887573242,44.80891799926758,48.10175704956055
2021-07-26,145.4980926513672,100.35939025878906,110.45970916748047,299.68353271484375,91.81999969482422,212.4192352294922,184.99099731445312,44.14833450317383,34.280189514160156,278.79998779296875,51.74003219604492,402.1000061035156,245.02259826660156,48.93623352050781,83.79063415527344,175.8091278076172,133.11688232421875,337.90899658203125,298.5066833496094,113.71122741699219,49.69986343383789,515.1245727539062,150.97840881347656,135.71713256835938,50.22334289550781,281.77001953125,232.7891845703125,383.22259521484375,221.52493286132812,370.1779479980469,67.62611389160156,83.0764389038086,278.6356506347656,68.39366149902344,584.2000122070312,19.25201988220215,138.0269012451172,33.443477630615234,126.1158676147461,80.48611450195312,130.78768920898438,77.57026672363281,523.2041625976562,219.2066650390625,166.14474487304688,386.511962890625,242.06387329101562,42.70630645751953,44.8718376159668,49.31610107421875
2021-07-27,143.3301239013672,100.50422668457031,110.72772216796875,300.53851318359375,91.02999877929688,212.0725555419922,181.3195037841797,43.51847839355469,34.14533233642578,280.7799987792969,51.61663055419922,403.154541015625,240.97512817382812,48.76860809326172,83.50845336914062,176.55667114257812,130.99647521972656,336.9562683105469,294.973388671875,113.69527435302734,48.66579055786133,508.89593505859375,151.67239379882812,135.5381317138672,50.399375915527344,282.12884521484375,233.14332580566406,380.75433349609375,223.6768035888672,365.55645751953125,68.1601791381836,83.02481079101562,276.21612548828125,69.23847961425781,582.2899780273438,19.16620445251465,138.79141235351562,33.675437927246094,126.62828826904297,81.1362533569336,128.44537353515625,79.61895751953125,524.351318359375,214.92666625976562,163.38246154785156,387.969970703125,242.72157287597656,43.027870178222656,44.87499237060547,48.76796340942383
2021-07-28,141.58209228515625,101.00691223144531,111.38390350341797,297.175048828125,97.93000030517578,211.69985961914062,181.51600646972656,43.72813034057617,34.280189514160156,278.1000061035156,51.10540008544922,401.1404113769531,241.42047119140625,48.318687438964844,83.98155212402344,176.16322326660156,135.16177368164062,336.4078369140625,293.40509033203125,112.91475677490234,48.56512451171875,509.0810241699219,151.250732421875,135.76187133789062,49.941688537597656,280.2501220703125,235.94776916503906,374.0908508300781,219.52743530273438,370.9929504394531,68.5804443359375,82.6719741821289,275.9075927734375,69.22958374023438,583.3499755859375,19.460561752319336,137.51724243164062,34.75529479980469,124.74931335449219,80.40486145019531,129.82159423828125,78.69840240478516,522.3638305664062,215.66000366210938,164.90040588378906,382.42755126953125,238.8621063232422,42.660369873046875,44.69251251220703,49.09684371948242
2021-07-29,142.2266082763672,101.27953338623047,111.91069793701172,299.0917053222656,102.94999694824219,210.1483917236328,179.99600219726562,44.31953048706055,34.77465057373047,279.760009765625,51.21998977661133,404.80499267578125,241.49961853027344,48.58334732055664,85.13529205322266,175.42552185058594,134.84744262695312,339.3924255371094,295.1266174316406,113.04219818115234,49.14164733886719,511.4263610839844,151.250732421875,136.92527770996094,50.214542388916016,282.69525146484375,234.818359375,379.32989501953125,221.5612335205078,356.1246032714844,67.35469055175781,83.46082305908203,276.177490234375,69.50525665283203,586.4299926757812,19.619216918945312,137.7984161376953,34.53737258911133,125.39661407470703,81.501953125,137.6141815185547,79.10453033447266,527.80224609375,225.78334045410156,167.5303192138672,385.1473388671875,239.81008911132812,42.859432220458984,44.7491455078125,49.69559097290039
